                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.77216,                0.62189,                0.94144,                      1,                0.96388,                0.98506,                0.81086,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.78782,                0.63472,                0.93489,                0.98481,                0.96791,                0.98428,                 0.8287,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.76331,                0.61981,                0.92304,                0.94433,                0.97015,                0.98021,                0.80421,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.78277,                0.65541,                0.93748,                0.96651,                0.98507,                0.98083,                0.81499,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.73351,                0.60723,                0.93023,                0.95327,                0.98507,                0.98435,                0.79983,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.74798,                0.61475,                0.94976,                0.98474,                0.96333,                0.98548,                0.83175,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.72733,                0.58748,                 0.9285,                 0.9701,                0.96856,                0.98504,                0.83789,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.75987,                 0.5925,                0.93523,                0.99842,                0.98507,                 0.9895,                0.84258,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.69869,                0.55048,                0.90546,                      1,                0.96643,                0.98842,                0.83872,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.72035,                0.56529,                0.90469,                0.98288,                0.97015,                0.98628,                0.82054,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.72538,                0.55133,                 0.9084,                 0.9828,                0.97015,                 0.9849,                0.81741,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.72955,                0.52716,                0.90866,                0.98267,                0.97015,                0.98575,                0.82716,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.73124,                0.55584,                0.93567,                0.99512,                0.97015,                0.98593,                0.82369,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                 0.7083,                0.56083,                0.91764,                0.98152,                0.98507,                0.98576,                0.81897,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.70921,                0.54368,                0.91056,                0.98507,                0.98478,                0.98581,                0.84743,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.68275,                0.52093,                0.90132,                0.97012,                0.97015,                0.98057,                0.83397,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.67699,                0.51996,                0.90988,                0.99807,                0.97015,                0.98589,                0.83617,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.67389,                0.51439,                0.89588,                      1,                0.98137,                0.98655,                0.85686,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.63674,                0.52057,                0.87956,                0.98295,                0.98507,                0.98684,                0.82715,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                 0.6674,                0.51584,                0.90399,                0.99857,                0.98507,                0.98635,                0.85835,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.66271,                0.53697,                0.89931,                0.99896,                0.98507,                0.98639,                0.86046,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.61767,                0.50416,                0.87735,                0.99951,                0.98507,                 0.9862,                0.85877,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.67353,                0.52149,                  0.907,                0.99885,                0.98507,                0.98592,                0.84945,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.65337,                 0.5052,                0.91847,                0.99798,                0.98507,                0.98615,                0.82906,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
